year,city,avg_sale_price
2000,ALGONA,146730.28
2001,ALGONA,153582.2
2002,ALGONA,168034.88
2003,ALGONA,191868.26
2004,ALGONA,201817.1
2005,ALGONA,229789.91
2006,ALGONA,262790.23
2007,ALGONA,270338.89
2008,ALGONA,262532.61
2009,ALGONA,208717.74
2010,ALGONA,199530
2011,ALGONA,191599.91
2012,ALGONA,185368.75
2013,ALGONA,193775.25
2014,ALGONA,195558.64
2015,ALGONA,226713
2016,ALGONA,249138.44
2017,ALGONA,273146.17
2018,ALGONA,321406.37
2019,ALGONA,346802.46
2020,ALGONA,376173.78
2021,ALGONA,440383.89
2022,ALGONA,492111.62
2023,ALGONA,478791.34
2000,AUBURN,193358.71
2001,AUBURN,214678.81
2002,AUBURN,222140.1
2003,AUBURN,227923.22
2004,AUBURN,245158.24
2005,AUBURN,287069.44
2006,AUBURN,336847.18
2007,AUBURN,361008.47
2008,AUBURN,320552.36
2009,AUBURN,286928.79
2010,AUBURN,256747.28
2011,AUBURN,248572.29
2012,AUBURN,250817.43
2013,AUBURN,279400.06
2014,AUBURN,301009.81
2015,AUBURN,335263.26
2016,AUBURN,358326.11
2017,AUBURN,396645.23
2018,AUBURN,411616.36
2019,AUBURN,435380.86
2020,AUBURN,480020.23
2021,AUBURN,585429.5
2022,AUBURN,651488.67
2023,AUBURN,628699.29
2000,BEAUX ARTS,563842.86
2001,BEAUX ARTS,558975
2002,BEAUX ARTS,489500
2003,BEAUX ARTS,736750
2004,BEAUX ARTS,495500
2005,BEAUX ARTS,1028333.33
2006,BEAUX ARTS,1126357.78
2007,BEAUX ARTS,1304166.67
2008,BEAUX ARTS,1508000
2009,BEAUX ARTS,723250
2010,BEAUX ARTS,775000
2011,BEAUX ARTS,1005000
2012,BEAUX ARTS,895000
2013,BEAUX ARTS,1283333.33
2014,BEAUX ARTS,1078800
2015,BEAUX ARTS,1325000
2016,BEAUX ARTS,1691000
2017,BEAUX ARTS,1758250
2018,BEAUX ARTS,3051250
2019,BEAUX ARTS,1978500
2020,BEAUX ARTS,2660500
2021,BEAUX ARTS,2576875
2022,BEAUX ARTS,1937500
2023,BEAUX ARTS,3075733.33
2000,BELLEVUE,427721.67
2001,BELLEVUE,420790.32
2002,BELLEVUE,447452.05
2003,BELLEVUE,465912.06
2004,BELLEVUE,508810.9
2005,BELLEVUE,626506.96
2006,BELLEVUE,716185.91
2007,BELLEVUE,826774.77
2008,BELLEVUE,779451.51
2009,BELLEVUE,679189.93
2010,BELLEVUE,725240.26
2011,BELLEVUE,650983.6
2012,BELLEVUE,679571.59
2013,BELLEVUE,765959.78
2014,BELLEVUE,864564.82
2015,BELLEVUE,940653.6
2016,BELLEVUE,1051397.14
2017,BELLEVUE,1231362.89
2018,BELLEVUE,1383018.25
2019,BELLEVUE,1336515.16
2020,BELLEVUE,1456817.58
2021,BELLEVUE,1869706.76
2022,BELLEVUE,2110877.55
2023,BELLEVUE,1992534.17
2000,BLACK DIAMOND,241990.54
2001,BLACK DIAMOND,230277.13
2002,BLACK DIAMOND,246396.57
2003,BLACK DIAMOND,270802.87
2004,BLACK DIAMOND,278949.9
2005,BLACK DIAMOND,316721.12
2006,BLACK DIAMOND,382202.29
2007,BLACK DIAMOND,375161.28
2008,BLACK DIAMOND,408760.22
2009,BLACK DIAMOND,364275
2010,BLACK DIAMOND,299169.95
2011,BLACK DIAMOND,282508.97
2012,BLACK DIAMOND,301741.74
2013,BLACK DIAMOND,318003.73
2014,BLACK DIAMOND,367226.71
2015,BLACK DIAMOND,430739.44
2016,BLACK DIAMOND,417232.54
2017,BLACK DIAMOND,442408.66
2018,BLACK DIAMOND,484371.24
2019,BLACK DIAMOND,528478.91
2020,BLACK DIAMOND,566434.8
2021,BLACK DIAMOND,729227.5
2022,BLACK DIAMOND,856438.93
2023,BLACK DIAMOND,896657.22
2000,BOTHELL,301372.8
2001,BOTHELL,296270.94
2002,BOTHELL,310724.96
2003,BOTHELL,327474.58
2004,BOTHELL,361270.44
2005,BOTHELL,417980.33
2006,BOTHELL,497290.04
2007,BOTHELL,517525.21
2008,BOTHELL,499319.76
2009,BOTHELL,488667.31
2010,BOTHELL,431201.61
2011,BOTHELL,430349.5
2012,BOTHELL,431547.97
2013,BOTHELL,497275.23
2014,BOTHELL,548804.74
2015,BOTHELL,562730.68
2016,BOTHELL,663579.79
2017,BOTHELL,793878.29
2018,BOTHELL,843360.39
2019,BOTHELL,867056.32
2020,BOTHELL,864474.66
2021,BOTHELL,1062667.15
2022,BOTHELL,1291379.36
2023,BOTHELL,1201564.34
2000,BURIEN,204967.49
2001,BURIEN,214551.97
2002,BURIEN,219646.39
2003,BURIEN,236502.67
2004,BURIEN,267005.59
2005,BURIEN,307973.7
2006,BURIEN,336572.7
2007,BURIEN,395303.88
2008,BURIEN,348332.18
2009,BURIEN,324552.61
2010,BURIEN,279947.98
2011,BURIEN,282235.84
2012,BURIEN,298510.15
2013,BURIEN,315884.16
2014,BURIEN,338086.72
2015,BURIEN,355817.73
2016,BURIEN,399928.78
2017,BURIEN,465778.27
2018,BURIEN,510462.93
2019,BURIEN,532778.51
2020,BURIEN,564561.06
2021,BURIEN,681676.29
2022,BURIEN,714788.91
2023,BURIEN,726439.12
2000,CARNATION,225932.65
2001,CARNATION,247790.28
2002,CARNATION,247757.58
2003,CARNATION,237314.84
2004,CARNATION,297476
2005,CARNATION,297596.86
2006,CARNATION,334591.61
2007,CARNATION,355483.33
2008,CARNATION,352301.07
2009,CARNATION,347577.27
2010,CARNATION,310115.38
2011,CARNATION,230695.45
2012,CARNATION,299573.21
2013,CARNATION,326834
2014,CARNATION,341727.5
2015,CARNATION,419312.1
2016,CARNATION,529802
2017,CARNATION,595502.01
2018,CARNATION,629200.5
2019,CARNATION,561453.19
2020,CARNATION,688854.19
2021,CARNATION,801654.79
2022,CARNATION,929988.82
2023,CARNATION,949600
2000,CLYDE HILL,744809.21
2001,CLYDE HILL,865427.71
2002,CLYDE HILL,779926.15
2003,CLYDE HILL,922704.21
2004,CLYDE HILL,1065817.63
2005,CLYDE HILL,1340761.84
2006,CLYDE HILL,1491360.16
2007,CLYDE HILL,1742010
2008,CLYDE HILL,2131763.88
2009,CLYDE HILL,1740689.57
2010,CLYDE HILL,1206694.7
2011,CLYDE HILL,1421584.15
2012,CLYDE HILL,1553061.38
2013,CLYDE HILL,1908526.67
2014,CLYDE HILL,1787420.21
2015,CLYDE HILL,2404944.91
2016,CLYDE HILL,2284794.2
2017,CLYDE HILL,3166674.75
2018,CLYDE HILL,3252294.93
2019,CLYDE HILL,3177327.56
2020,CLYDE HILL,3371557.78
2021,CLYDE HILL,4493102.15
2022,CLYDE HILL,5017800
2023,CLYDE HILL,4597848.52
2000,COVINGTON,195772.58
2001,COVINGTON,210059.49
2002,COVINGTON,228393.03
2003,COVINGTON,245001.3
2004,COVINGTON,259486.71
2005,COVINGTON,293579.05
2006,COVINGTON,319894.19
2007,COVINGTON,348106.94
2008,COVINGTON,335566.82
2009,COVINGTON,269311.91
2010,COVINGTON,264331.46
2011,COVINGTON,245139.96
2012,COVINGTON,243810.66
2013,COVINGTON,272164.17
2014,COVINGTON,274622.7
2015,COVINGTON,302718.92
2016,COVINGTON,344673.18
2017,COVINGTON,394696.35
2018,COVINGTON,436533.26
2019,COVINGTON,437847.53
2020,COVINGTON,486268.87
2021,COVINGTON,581395.63
2022,COVINGTON,683979.08
2023,COVINGTON,663360.47
2000,DES MOINES,214863.06
2001,DES MOINES,206201.96
2002,DES MOINES,225692.87
2003,DES MOINES,232087.33
2004,DES MOINES,250758.41
2005,DES MOINES,299179.09
2006,DES MOINES,340551.09
2007,DES MOINES,380588.14
2008,DES MOINES,312936.57
2009,DES MOINES,302806.68
2010,DES MOINES,306207.77
2011,DES MOINES,259583.19
2012,DES MOINES,230983.9
2013,DES MOINES,282689.1
2014,DES MOINES,301130.75
2015,DES MOINES,339596.9
2016,DES MOINES,363582.3
2017,DES MOINES,446312.53
2018,DES MOINES,467162.52
2019,DES MOINES,486210.71
2020,DES MOINES,538848.39
