year,city,home_appreciation
2000,SKYKOMISH,1.0797644539614561
2001,SKYKOMISH,0.8919186911254338
2002,SKYKOMISH,1.1673151750972763
2003,SKYKOMISH,1.1936507619047618
2004,SKYKOMISH,1.007014654441879
2005,SKYKOMISH,1.1211250866594038
2006,SKYKOMISH,1.3544640989399295
2007,SKYKOMISH,0.9652677363120208
2008,SKYKOMISH,1.3243243243243243
2009,SKYKOMISH,0.5295918367346939
2010,SKYKOMISH,2.851637764932563
2011,SKYKOMISH,0.37567567567567567
2012,SKYKOMISH,0.8451438848920864
2013,SKYKOMISH,0.8512449457331347
2014,SKYKOMISH,1.618
2015,SKYKOMISH,0.8359857849196539
2016,SKYKOMISH,1.6969965807226688
2017,SKYKOMISH,0.86404691992681
2018,SKYKOMISH,1.5050420421015471
2019,SKYKOMISH,0.8013400335008375
2020,SKYKOMISH,1.336863628762542
2021,SKYKOMISH,1.0347029115031068
2022,SKYKOMISH,1.3053267850396675
2023,SKYKOMISH,0.949293818013429
2000,SNOQUALMIE,1.0589688855893633
2001,SNOQUALMIE,1.1976267144245136
2002,SNOQUALMIE,1.0014757654027786
2003,SNOQUALMIE,0.9504494426566934
2004,SNOQUALMIE,1.1298181655821131
2005,SNOQUALMIE,1.1567000444945044
2006,SNOQUALMIE,1.1372336841563788
2007,SNOQUALMIE,0.9870649057133583
2008,SNOQUALMIE,0.9300799144888431
2009,SNOQUALMIE,0.949006633423027
2010,SNOQUALMIE,1.0055618691796777
2011,SNOQUALMIE,0.902120901289035
2012,SNOQUALMIE,1.03814419149583
2013,SNOQUALMIE,1.0518190774906573
2014,SNOQUALMIE,1.1102983761171004
2015,SNOQUALMIE,1.0675943391054057
2016,SNOQUALMIE,1.123619608629737
2017,SNOQUALMIE,1.119068336673297
2018,SNOQUALMIE,1.0717719657127511
2019,SNOQUALMIE,0.9797431982555217
2020,SNOQUALMIE,1.1110073785101058
2021,SNOQUALMIE,1.3287026228839571
2022,SNOQUALMIE,1.1736779439538265
2023,SNOQUALMIE,0.933344643240168
2000,TUKWILA,1.1165951576682953
2001,TUKWILA,1.132072070418585
2002,TUKWILA,1.0943691540358282
2003,TUKWILA,1.037911688679645
2004,TUKWILA,1.0952402574784807
2005,TUKWILA,1.14075349203587
2006,TUKWILA,1.134086254476084
2007,TUKWILA,1.1252258419970762
2008,TUKWILA,0.9746314186497144
2009,TUKWILA,0.7490247042767653
2010,TUKWILA,0.9333396028671851
2011,TUKWILA,0.9084684864014247
2012,TUKWILA,0.982323430684547
2013,TUKWILA,1.081164830878364
2014,TUKWILA,1.111340239528042
2015,TUKWILA,1.1946225515374997
2016,TUKWILA,1.1787684466665784
2017,TUKWILA,1.057171819525525
2018,TUKWILA,1.1263681834926815
2019,TUKWILA,1.0577035751595982
2020,TUKWILA,1.0534807799196562
2021,TUKWILA,1.1638836699003674
2022,TUKWILA,1.1602482178782043
2023,TUKWILA,0.9620778847160459
2000,WOODINVILLE,1.1066578178108661
2001,WOODINVILLE,1.0152964864845164
2002,WOODINVILLE,0.9419245896186932
2003,WOODINVILLE,1.14359678181924
2004,WOODINVILLE,1.1415559627939278
2005,WOODINVILLE,1.2458888397376948
2006,WOODINVILLE,1.143568628100726
2007,WOODINVILLE,1.0840302610286687
2008,WOODINVILLE,0.8789453778975909
2009,WOODINVILLE,0.8018243762896622
2010,WOODINVILLE,1.1191678545215882
2011,WOODINVILLE,0.9144490275692564
2012,WOODINVILLE,0.9822953426326093
2013,WOODINVILLE,1.104463866269463
2014,WOODINVILLE,1.0206880636319218
2015,WOODINVILLE,1.0847956012596969
2016,WOODINVILLE,1.2853012324971913
2017,WOODINVILLE,1.0612690830821692
2018,WOODINVILLE,1.2565658499877335
2019,WOODINVILLE,0.9166903395626279
2020,WOODINVILLE,1.037085262899827
2021,WOODINVILLE,1.3550248802792775
2022,WOODINVILLE,1.1194279404119738
2023,WOODINVILLE,1.010968817853416
2000,YARROW POINT,1.098460500341067
2001,YARROW POINT,0.9415378386480163
2002,YARROW POINT,0.9100968534215423
2003,YARROW POINT,1.0183194691321933
2004,YARROW POINT,1.2958335804640229
2005,YARROW POINT,1.15708325749335
2006,YARROW POINT,1.0217825896225847
2007,YARROW POINT,0.8157476873058992
2008,YARROW POINT,2.0284034435154594
2009,YARROW POINT,0.6956168672230713
2010,YARROW POINT,0.9291655703103747
2011,YARROW POINT,0.7621481597070877
2012,YARROW POINT,1.6309906609503395
2013,YARROW POINT,0.8075657330031507
2014,YARROW POINT,1.3399688227772262
2015,YARROW POINT,0.9351967449392712
2016,YARROW POINT,1.066164115649336
2017,YARROW POINT,1.1757852353643476
2018,YARROW POINT,1.3516534289562903
2019,YARROW POINT,1.2818534818398843
2020,YARROW POINT,0.8142946545341448
2021,YARROW POINT,1.0701406011101247
2022,YARROW POINT,1.6286255152127869
2023,YARROW POINT,0.8382584203561533
2000,ALGONA,1.1401956147039805
2001,ALGONA,1.0466973824353092
2002,ALGONA,1.0941038740166502
2003,ALGONA,1.1418359093064487
2004,ALGONA,1.0518524533448106
2005,ALGONA,1.138604756484956
2006,ALGONA,1.1436108313023838
2007,ALGONA,1.028725040500935
2008,ALGONA,0.9711240953900491
2009,ALGONA,0.7950164362438632
2010,ALGONA,0.955980071459187
2011,ALGONA,0.9602561519570992
2012,ALGONA,0.9674782728238234
2013,ALGONA,1.0453501466671162
2014,ALGONA,1.0092033941383123
2015,ALGONA,1.1593095554356483
2016,ALGONA,1.0989155452047301
2017,ALGONA,1.0963630100597883
2018,ALGONA,1.1766826897115197
2019,ALGONA,1.0790155154672263
2020,ALGONA,1.0846917867883636
2021,ALGONA,1.1706926782616267
2022,ALGONA,1.1174605410747427
2023,ALGONA,0.9729324009865893
2000,AUBURN,1.0417553479214536
2001,AUBURN,1.1102619064845851
2002,AUBURN,1.0347555960460186
2003,AUBURN,1.0260336607393261
