year,city,price_per_sqft
2000,ALGONA,106.6218417122302
2001,ALGONA,115.60817251472932
2002,ALGONA,115.83539409401409
2003,ALGONA,114.9090311698382
2004,ALGONA,131.11394887996127
2005,ALGONA,155.19011615715544
2006,ALGONA,184.76124932839457
2007,ALGONA,173.68828421251013
2008,ALGONA,185.7222684167586
2009,ALGONA,136.64527351482286
2010,ALGONA,123.13464304749559
2011,ALGONA,105.72863203515614
2012,ALGONA,111.26844917047795
2013,ALGONA,123.98193234583614
2014,ALGONA,126.3266105884402
2015,ALGONA,147.79517470799735
2016,ALGONA,175.68365199927598
2017,ALGONA,204.01528233068484
2018,ALGONA,224.84264765540706
2019,ALGONA,238.18593761831755
2020,ALGONA,277.8387968587396
2021,ALGONA,336.35352158196304
2022,ALGONA,350.2375344723612
2023,ALGONA,362.4834647190229
2000,AUBURN,108.60618115089599
2001,AUBURN,113.4853882076663
2002,AUBURN,119.23803995842415
2003,AUBURN,119.72091176612818
2004,AUBURN,129.07137908584207
2005,AUBURN,155.74762733214394
2006,AUBURN,181.18163409483282
2007,AUBURN,191.4569218867618
2008,AUBURN,171.05474783403088
2009,AUBURN,148.22204551167877
2010,AUBURN,133.20402219402655
2011,AUBURN,122.59309083623026
2012,AUBURN,125.34433244520173
2013,AUBURN,138.15932312743266
2014,AUBURN,147.6615460022016
2015,AUBURN,162.40225748564873
2016,AUBURN,177.522274566734
2017,AUBURN,190.4889043573636
2018,AUBURN,213.93036704495813
2019,AUBURN,220.19782210386802
2020,AUBURN,247.58107320877662
2021,AUBURN,294.75908506588263
2022,AUBURN,333.11867917807047
2023,AUBURN,323.2556246867196
2000,BEAUX ARTS,259.48961656347973
2001,BEAUX ARTS,213.883789132281
2002,BEAUX ARTS,210.86911443939812
2003,BEAUX ARTS,192.57763240281238
2004,BEAUX ARTS,207.65855006587464
2005,BEAUX ARTS,390.29826866235635
2006,BEAUX ARTS,409.04064024659914
2007,BEAUX ARTS,451.6024702167413
2008,BEAUX ARTS,545.129790167526
2009,BEAUX ARTS,217.18826150525658
2010,BEAUX ARTS,254.48196728903733
2011,BEAUX ARTS,318.74122199880776
2012,BEAUX ARTS,440.12973352033663
2013,BEAUX ARTS,413.5397826425915
2014,BEAUX ARTS,383.33090725684775
2015,BEAUX ARTS,599.0628056911052
2016,BEAUX ARTS,1064.4663238496305
2017,BEAUX ARTS,605.2830705981202
2018,BEAUX ARTS,2275.987851841657
2019,BEAUX ARTS,861.6980786745823
2020,BEAUX ARTS,1352.408996842345
2021,BEAUX ARTS,1350.2396601226742
2022,BEAUX ARTS,1036.2448180561953
2023,BEAUX ARTS,808.5883470916324
2000,BELLEVUE,159.8532061942701
2001,BELLEVUE,164.52040197305394
2002,BELLEVUE,180.3170994391239
2003,BELLEVUE,183.8792219693081
2004,BELLEVUE,201.491417432757
2005,BELLEVUE,244.37843113084028
2006,BELLEVUE,286.2599827840333
2007,BELLEVUE,336.5409109473239
2008,BELLEVUE,332.92761914346937
2009,BELLEVUE,280.87504989617605
2010,BELLEVUE,294.81679009916155
2011,BELLEVUE,262.6304158090411
2012,BELLEVUE,274.52036369491145
2013,BELLEVUE,308.39960929041695
2014,BELLEVUE,339.0651434284825
2015,BELLEVUE,370.4759678121099
2016,BELLEVUE,433.8444559781616
2017,BELLEVUE,510.4181922822036
2018,BELLEVUE,578.2250503435496
2019,BELLEVUE,574.3174568628272
2020,BELLEVUE,613.3932361502629
2021,BELLEVUE,769.3256155727286
2022,BELLEVUE,933.5596511839565
2023,BELLEVUE,911.5137797679307
2000,BLACK DIAMOND,125.63709315869761
2001,BLACK DIAMOND,125.17514680931599
2002,BLACK DIAMOND,140.2692360032847
2003,BLACK DIAMOND,137.3009441904934
2004,BLACK DIAMOND,153.61083421476607
2005,BLACK DIAMOND,193.56381040940383
2006,BLACK DIAMOND,214.26711013476313
2007,BLACK DIAMOND,200.1102565789109
2008,BLACK DIAMOND,234.43154755943064
2009,BLACK DIAMOND,166.39520670484725
2010,BLACK DIAMOND,223.3957005795205
2011,BLACK DIAMOND,165.22976302085985
2012,BLACK DIAMOND,139.53608143417705
2013,BLACK DIAMOND,162.35314502882838
2014,BLACK DIAMOND,223.21428765840386
2015,BLACK DIAMOND,254.6551703602536
2016,BLACK DIAMOND,224.44236427610937
2017,BLACK DIAMOND,243.40584341201873
2018,BLACK DIAMOND,270.62729337108084
2019,BLACK DIAMOND,252.45479838187097
2020,BLACK DIAMOND,260.2478589778696
2021,BLACK DIAMOND,319.1881261044481
2022,BLACK DIAMOND,353.0680206976808
2023,BLACK DIAMOND,367.82995077747256
2000,BOTHELL,136.92933254003722
2001,BOTHELL,140.43877649508687
2002,BOTHELL,145.4840557698785
2003,BOTHELL,151.21299956043507
2004,BOTHELL,164.59042668992447
2005,BOTHELL,195.80437542466416
2006,BOTHELL,233.3729168938774
2007,BOTHELL,230.31812048160842
2008,BOTHELL,216.85351046966366
2009,BOTHELL,200.96176475460325
2010,BOTHELL,188.22843735542838
2011,BOTHELL,174.56281120242005
2012,BOTHELL,185.46626312870362
2013,BOTHELL,198.7524225948102
2014,BOTHELL,220.01450272945692
2015,BOTHELL,237.7802713142309
2016,BOTHELL,272.75473110431926
2017,BOTHELL,305.70880423754994
2018,BOTHELL,336.371801224216
2019,BOTHELL,341.69062959246776
2020,BOTHELL,374.97965224001905
2021,BOTHELL,483.44883785282855
2022,BOTHELL,554.4965362426245
2023,BOTHELL,528.5016048555781
2000,BURIEN,129.30912119382978
2001,BURIEN,139.2244896897961
2002,BURIEN,142.19556736990512
